Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
DTC,356,[M] Information Structures,01,26026,3,"M,W,F9.10-10",VMMC 111,Jan 10--Apr 29,N Schiller
DTC,375,"[M] Language, Texts and Technology",01,26068,3,"TU,TH12.05-13.20",VMMC 111,Jan 10--Apr 29,J Barber
DTC,435,Advanced Animation,01,26100,3,TU17.45-20.30,VCLS 224,Jan 10--Apr 29,S Anderson
DTC,435,Advanced Animation,01 Lab,26106,0,ARRGT,ARR ARR,Jan 10--Apr 29,""
DTC,477,Advanced Multimedia Authoring,01,26027,3,M17.45-20.30,VCLS 224,Jan 10--Apr 29,M Stamper
DTC,478,Usability and Interface Design,01,26028,3,"TU,TH14.55-16.10",VMMC 111,Jan 10--Apr 29,J Barber
DTC,491,Advanced Digital Cinema,01,27258,3,F11.10-14,VMMC 111,Jan 10--Apr 29,W Luers
DTC,492,Engines and Platforms,01,26132,3,TH17.45-20.30,VMMC 111,Jan 10--Apr 29,C Pien
DTC,497,[CAPS] Senior Seminar,01,"",3,W13.30-16.10,VMMC 111,Jan 10--Apr 29,S Anderson
DTC,499,Special Problems,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,J Barber
E_A,300,Educ Abroad,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,""
E_A,301,Educ Abroad,01,"",V,ARRGT,ARR ARR,Jan 10--Apr 29,""
ECE,234,Microprocessor Systems,01,26419,3,"W,F14.55-15.45",VSCI 19,Jan 10--Apr 29,A Majdara
ECE,234,Microprocessor Systems,01 Lab,26420,0,W16.20-18.50,VECS 220,Jan 10--Apr 29,A Majdara
ECE,234,Microprocessor Systems,02 Lab,26632,0,W16.20-18.50,VECS 221,Jan 10--Apr 29,A Majdara
ECE,260,Circuit Modeling and Analysis I,01,26421,4,"TU,TH9.10-10.25",VECS 122,Jan 10--Apr 29,J Lynch
ECE,260,Circuit Modeling and Analysis I,01 Lab,26422,0,M12.05-14.35,VECS 220,Jan 10--Apr 29,J Lynch
ECE,260,Circuit Modeling and Analysis I,02 Lab,26621,0,M12.05-14.35,VECS 221,Jan 10--Apr 29,J Lynch
ECE,324,Digital Systems Design,01,26424,3,"TU,TH13.30-14.20",VECS 122,Jan 10--Apr 29,J Lynch
ECE,324,Digital Systems Design,01 Lab,26425,0,TH14.55-17.25,VECS 220,Jan 10--Apr 29,J Lynch
ECE,324,Digital Systems Design,02 Lab,26426,0,TH14.55-17.25,VECS 221,Jan 10--Apr 29,J Lynch
ECE,327,Introduction to Power Electronics,01,26454,3,"TU,TH12.05-12.55",VECS 104,Jan 10--Apr 29,H Gao
ECE,327,Introduction to Power Electronics,01 Lab,26455,0,F10.35-13.05,VECS 220,Jan 10--Apr 29,H Gao
ECE,327,Introduction to Power Electronics,02 Lab,26456,0,F10.35-13.05,VECS 221,Jan 10--Apr 29,H Gao
ECE,341,Signals and Systems,01,26427,3,"M,W12.05-12.55",VSCI 12,Jan 10--Apr 29,A Majdara
